"","egoID","from.alter","to.alter","weight_origin","weight"
"25473",2094,"209403","209406",4,4
"25503",2097,"209703","209706",8,8
"25513",2098,"209803","209806",7,7
"25613",2111,"211103","211106",10,10
"25663",2120,"212003","212006",5,5
"25683",2122,"212203","212206",8,8
"25733",2128,"212803","212806",10,10
"25743",2130,"213003","213006",6,6
"25763",2133,"213303","213306",10,10
"25773",2134,"213403","213406",10,10
"25783",2135,"213503","213506",6,6
"25803",2140,"214003","214006",4,4
"25813",2141,"214103","214106",10,10
"25823",2143,"214303","214306",8,8
"25833",2144,"214403","214406",1,1
"25843",2145,"214503","214506",9,9
"25913",2153,"215303","215306",2,2
"25923",2155,"215503","215506",10,10
"26013",2167,"216703","216706",10,10
"26023",2168,"216803","216806",3,3
"26073",2174,"217403","217406",2,2
"26183",2191,"219103","219106",10,10
"26213",2195,"219503","219506",10,10
"26223",2196,"219603","219606",4,4
"26243",2201,"220103","220106",6,6
"26263",2205,"220503","220506",8,8
"26283",2208,"220803","220806",7,7
"26293",2209,"220903","220906",10,10
"26313",2218,"221803","221806",10,10
"26323",2219,"221903","221906",1,1
"26363",2224,"222403","222406",8,8
"26383",2229,"222903","222906",10,10
"26413",2233,"223303","223306",9,9
"26443",2238,"223803","223806",1,1
"26453",2239,"223903","223906",10,10
"26463",2240,"224003","224006",3,3
"26473",2241,"224103","224106",7,7
"26493",2244,"224403","224406",10,10
"26503",2245,"224503","224506",7,7
"26543",2250,"225003","225006",10,10
"26573",2254,"225403","225406",7,7
"26603",2261,"226103","226106",9,9
"26653",2271,"227103","227106",7,7
"26663",2274,"227403","227406",10,10
"26683",2278,"227803","227806",10,10
"26693",2279,"227903","227906",7,7
"26703",2284,"228403","228406",4,4
"26723",2287,"228703","228706",2,2
"26773",2306,"230603","230606",9,9
"26803",2309,"230903","230906",10,10
"26823",2311,"231103","231106",10,10
"26833",2312,"231203","231206",7,7
"26843",2314,"231403","231406",9,9
"26853",2318,"231803","231806",7,7
"26863",2322,"232203","232206",10,10
"26873",2328,"232803","232806",10,10
"26983",2343,"234303","234306",6,6
"27003",2347,"234703","234706",2,2
"27053",2355,"235503","235506",7,7
"27083",2359,"235903","235906",9,9
"27173",2373,"237303","237306",10,10
"27203",2383,"238303","238306",7,7
"27243",2389,"238903","238906",2,2
"27253",2393,"239303","239306",3,3
"27273",2396,"239603","239606",1,1
"27313",2401,"240103","240106",10,10
"27433",2419,"241903","241906",2,2
"27553",2438,"243803","243806",7,7
"27633",2462,"246203","246206",7,7
"27643",2463,"246303","246306",10,10
"27663",2466,"246603","246606",10,10
"27673",2467,"246703","246706",9,9
"27723",2475,"247503","247506",4,4
"27743",2477,"247703","247706",9,9
"27753",2481,"248103","248106",10,10
"27773",2483,"248303","248306",7,7
"27793",2485,"248503","248506",6,6
"27843",2491,"249103","249106",6,6
"27863",2496,"249603","249606",6,6
"27883",2501,"250103","250106",5,5
"27893",2503,"250303","250306",10,10
"27913",2505,"250503","250506",8,8
"27923",2507,"250703","250706",2,2
"27973",2517,"251703","251706",6,6
"28003",2522,"252203","252206",8,8
"28033",2528,"252803","252806",8,8
"28043",2529,"252903","252906",10,10
"28103",2536,"253603","253606",10,10
"28213",2554,"255403","255406",10,10
"28223",2556,"255603","255606",10,10
"28243",2559,"255903","255906",1,1
"28253",2560,"256003","256006",10,10
"28353",2582,"258203","258206",10,10
"28383",2590,"259003","259006",6,6
"28393",2591,"259103","259106",7,7
"28443",2601,"260103","260106",3,3
"28483",2607,"260703","260706",7,7
"28493",2608,"260803","260806",4,4
"28513",2614,"261403","261406",7,7
"28533",2617,"261703","261706",4,4
"28583",2630,"263003","263006",8,8
"28633",2638,"263803","263806",4,4
"28653",2641,"264103","264106",3,3
"28663",2642,"264203","264206",3,3
"28703",2652,"265203","265206",5,5
"28733",2656,"265603","265606",10,10
"28853",2677,"267703","267706",10,10
"28873",2681,"268103","268106",10,10
"29013",2703,"270303","270306",8,8
"29033",2709,"270903","270906",8,8
"19414",1007,"100703","100707",10,10
"19444",1012,"101203","101207",6,6
"19484",1019,"101903","101907",10,10
"19544",1029,"102903","102907",8,8
"19624",1041,"104103","104107",10,10
"19634",1043,"104303","104307",4,4
"19654",1046,"104603","104607",10,10
"19754",1062,"106203","106207",10,10
"19784",1065,"106503","106507",3,3
"19824",1071,"107103","107107",10,10
"19834",1073,"107303","107307",10,10
"19924",1087,"108703","108707",2,2
"19954",1092,"109203","109207",10,10
"19974",1094,"109403","109407",10,10
"20014",1100,"110003","110007",7,7
"20234",1150,"115003","115007",8,8
"20344",1172,"117203","117207",10,10
"20354",1175,"117503","117507",6,6
"20404",1190,"119003","119007",10,10
"20424",1192,"119203","119207",10,10
"20514",1202,"120203","120207",10,10
"20564",1208,"120803","120807",10,10
"20604",1213,"121303","121307",5,5
"20744",1229,"122903","122907",1,1
"20764",1231,"123103","123107",10,10
